,Neighborhood_Latitude,Neighborhood_Longitude,indian_Venue,indian_Venue_Latitude,indian_Venue_Longitude,Distance,Venue_Category,neigh_lat_lon
0,28.56401659,77.21029203,Himalaya Dhaba,28.5615326,77.21121466,290,Indian Restaurant,28.56401658683666-77.21029203003012
1,28.56401659,77.21029203,Rhythm Restro-Bar,28.5605705,77.20779419,454,Indian Restaurant,28.56401658683666-77.21029203003012
2,28.56401659,77.21029203,mann mess,28.560317,77.212707,474,Indian Restaurant,28.56401658683666-77.21029203003012
3,28.56401659,77.21029203,Sri Balaji South Indian Restaurant,28.56219093,77.21086624,210,South Indian Restaurant,28.56401658683666-77.21029203003012
4,28.56391658,77.21642204,Shri vinayaka restaurant,28.56382182,77.21952927,303,Indian Restaurant,28.563916575328275-77.21642203567984
5,28.56391658,77.21642204,Ahadsons Foods- Kashmiri Wazwan,28.5606978,77.21824927,400,Indian Restaurant,28.563916575328275-77.21642203567984
6,28.56391658,77.21642204,Qureshi Kebab,28.5676702,77.21895103,485,Indian Restaurant,28.563916575328275-77.21642203567984
7,28.56391658,77.21642204,Qureshi's Kebab Corner,28.56765556,77.21906892,490,Indian Restaurant,28.563916575328275-77.21642203567984
8,28.56391658,77.21642204,The Arena,28.5638623,77.21973137,323,Multicuisine Indian Restaurant,28.563916575328275-77.21642203567984
9,28.56381629,77.22255201,Daitchi,28.56819754,77.22247657,487,Chinese Restaurant,28.563816287290805-77.22255201004155
10,28.56371572,77.22868195,Te Amo,28.56259533,77.22496079,384,Indian Restaurant,28.56371572272947-77.22868195302902
11,28.56371572,77.22868195,Te Amo Ansal Plaza,28.562683,77.22493,384,Indian Restaurant,28.56371572272947-77.22868195302902
12,28.56361488,77.23481186,Moolchand Parathe Wala,28.56355153,77.2342947,51,Indian Restaurant,28.56361488164948-77.23481186455597
13,28.56361488,77.23481186,Haldiram's,28.56523638,77.23816911,374,Indian Restaurant,28.56361488164948-77.23481186455597
14,28.56361488,77.23481186,Nizam's Kathi Kabab,28.56675867,77.23405175,357,Indian Restaurant,28.56361488164948-77.23481186455597
15,28.56361488,77.23481186,Southy,28.56289563,77.23812132,333,Indian Restaurant,28.56361488164948-77.23481186455597
16,28.56361488,77.23481186,Nizam's,28.56670327,77.23407421,351,Indian Restaurant,28.56361488164948-77.23481186455597
17,28.56351376,77.24094174,Haldiram's,28.56523638,77.23816911,332,Indian Restaurant,28.563513764056083-77.24094174453614
18,28.56351376,77.24094174,Chulha Chonkha,28.56382517,77.2414154,57,Indian Restaurant,28.563513764056083-77.24094174453614
19,28.56351376,77.24094174,The Colony Bistro,28.56275785,77.24445099,353,Café,28.563513764056083-77.24094174453614
20,28.56351376,77.24094174,Soya Express,28.561231,77.2410945,254,Indian Restaurant,28.563513764056083-77.24094174453614
21,28.56351376,77.24094174,Southy,28.56289563,77.23812132,284,Indian Restaurant,28.563513764056083-77.24094174453614
22,28.56351376,77.24094174,Nagpal Chole Bhature,28.56383581,77.24056328,51,North Indian Restaurant,28.563513764056083-77.24094174453614
23,28.56341237,77.24707159,The Colony Bistro,28.56275785,77.24445099,266,Café,28.56341236995452-77.24707159288327
24,28.56341237,77.24707159,Sagar Ratna,28.56224857,77.24472214,263,Indian Restaurant,28.56341236995452-77.24707159288327
25,28.56341237,77.24707159,Juneja Sweets,28.56238703,77.24449763,276,Indian Restaurant,28.56341236995452-77.24707159288327
26,28.56341237,77.24707159,Gopal Dhaba,28.56607481,77.24651261,301,Indian Restaurant,28.56341236995452-77.24707159288327
27,28.56341237,77.24707159,Delhicious Kitchen,28.56733723,77.24677079,437,Diner,28.56341236995452-77.24707159288327
28,28.56885294,77.20119454,Rajinder Da Dhaba,28.56526803,77.19913678,446,Indian Restaurant,28.568852943155644-77.20119453798124
29,28.56885294,77.20119454,Bengal Sweet Corner,28.56601701,77.19908237,377,Indian Restaurant,28.568852943155644-77.20119453798124
30,28.56885294,77.20119454,AYE1 Dhaba,28.565367,77.199309,429,Indian Restaurant,28.568852943155644-77.20119453798124
31,28.56875333,77.20732486,Navdanya Organic Cafe,28.57290268,77.20645142,469,Indian Restaurant,28.56875332714104-77.20732486160999
32,28.56875333,77.20732486,BijoliGrill,28.573012,77.206397,482,Indian Restaurant,28.56875332714104-77.20732486160999
33,28.56875333,77.20732486,Nagaland Cookhouse,28.573076,77.20634,490,Northeast Indian Restaurant,28.56875332714104-77.20732486160999
34,28.56865343,77.21345515,Qureishi's,28.56523705,77.21669006,494,Indian Restaurant,28.568653434536017-77.21345515407427
35,28.56865343,77.21345515,Voda Bar,28.56857997,77.21832991,476,Indian Restaurant,28.568653434536017-77.21345515407427
36,28.56855327,77.21958542,Bengali Sweets,28.56953755,77.22094001,171,Indian Restaurant,28.56855326534573-77.21958541528782
37,28.56855327,77.21958542,Moti Mahal Deluxe,28.56853886,77.21926835,31,Indian Restaurant,28.56855326534573-77.21958541528782
38,28.56855327,77.21958542,Bhel Puri,28.5693451,77.21971453,89,Indian Restaurant,28.56855326534573-77.21958541528782
39,28.56855327,77.21958542,Rang De Basanti Dhaba,28.56809569,77.22003452,67,Indian Restaurant,28.56855326534573-77.21958541528782
40,28.56855327,77.21958542,Pind Balluchi,28.56952509,77.22430106,473,Indian Restaurant,28.56855326534573-77.21958541528782
41,28.56855327,77.21958542,Daitchi,28.56819754,77.22247657,285,Chinese Restaurant,28.56855326534573-77.21958541528782
42,28.56845282,77.22571565,Bengali Sweets,28.56953755,77.22094001,482,Indian Restaurant,28.5684528195754-77.22571564516436
43,28.56845282,77.22571565,Al Jawahar,28.568823,77.22578,41,Indian Restaurant,28.5684528195754-77.22571564516436
44,28.56845282,77.22571565,Pind Balluchi,28.56952509,77.22430106,182,Indian Restaurant,28.5684528195754-77.22571564516436
45,28.56845282,77.22571565,Chicken Inn,28.56867482,77.22988662,408,Indian Restaurant,28.5684528195754-77.22571564516436
46,28.56845282,77.22571565,Kathi's,28.56770215,77.22124713,444,Indian Restaurant,28.5684528195754-77.22571564516436
47,28.56845282,77.22571565,Daitchi,28.56819754,77.22247657,317,Chinese Restaurant,28.5684528195754-77.22571564516436
48,28.5683521,77.23184584,Nizam's Kathi Kabab,28.56675867,77.23405175,279,Indian Restaurant,28.568352097230232-77.23184584361759
49,28.5683521,77.23184584,Nizam's,28.56670327,77.23407421,284,Indian Restaurant,28.568352097230232-77.23184584361759
