Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
28.56401659,77.21029203,Shooters Bar & Grill,28.56514068,77.2082448,Restaurant
28.56401659,77.21029203,Kuldeep Parantha's,28.56238482,77.20746981,Snack Place
28.56401659,77.21029203,Hot Box,28.56024803,77.21058024,Café
28.56401659,77.21029203,Gupta Tea Stall,28.56032517,77.20845236,Breakfast Spot
28.56401659,77.21029203,Rhythm Restro-Bar,28.5605705,77.20779419,Indian Restaurant
28.56391658,77.21642204,Domino's Pizza,28.567,77.22,Pizza Place
28.56391658,77.21642204,Cakeheart Bakery,28.564245,77.219047,Bakery
28.56391658,77.21642204,Jughead's Fast Food,28.56120533,77.21657066,Fast Food Restaurant
28.56391658,77.21642204,Shri vinayaka restaurant,28.56382182,77.21952927,Indian Restaurant
28.56391658,77.21642204,Jughead's,28.56125364,77.2179012,Pizza Place
28.56391658,77.21642204,Ahadsons Foods- Kashmiri Wazwan,28.5606978,77.21824927,Indian Restaurant
28.56391658,77.21642204,Daichi,28.56810915,77.21518958,Japanese Restaurant
28.56391658,77.21642204,Qureshi Kebab,28.5676702,77.21895103,Indian Restaurant
28.56391658,77.21642204,Qureshi's Kebab Corner,28.56765556,77.21906892,Indian Restaurant
28.56381629,77.22255201,Domino's Pizza,28.567,77.22,Pizza Place
28.56381629,77.22255201,McDonald's,28.56289117,77.22439712,Fast Food Restaurant
28.56381629,77.22255201,McDonald's,28.56340948,77.22434035,Fast Food Restaurant
28.56381629,77.22255201,The Skyhigh,28.563326,77.22475,Comfort Food Restaurant
28.56381629,77.22255201,Jom Jom,28.56287,77.2248,Malay Restaurant
28.56381629,77.22255201,Cake Palace,28.56763656,77.22115731,Bakery
28.56381629,77.22255201,Daitchi,28.56819754,77.22247657,Chinese Restaurant
28.56381629,77.22255201,Kofuku,28.563152,77.22759,Japanese Restaurant
28.56371572,77.22868195,Domino's Pizza,28.566,77.233,Pizza Place
28.56371572,77.22868195,Kofuku,28.563152,77.22759,Japanese Restaurant
28.56371572,77.22868195,McDonald's,28.56289117,77.22439712,Fast Food Restaurant
28.56371572,77.22868195,The Skyhigh,28.563326,77.22475,Comfort Food Restaurant
28.56371572,77.22868195,Jom Jom,28.56287,77.2248,Malay Restaurant
28.56371572,77.22868195,McDonald's,28.56340948,77.22434035,Fast Food Restaurant
28.56361488,77.23481186,Le Bistro du Parc,28.56616994,77.23337893,French Restaurant
28.56361488,77.23481186,Moolchand Parathe Wala,28.56355153,77.2342947,Indian Restaurant
28.56361488,77.23481186,Flavours Defence Colony,28.56633354,77.23381473,Italian Restaurant
28.56361488,77.23481186,Nizam's Kathi Kabab,28.56675867,77.23405175,Indian Restaurant
28.56361488,77.23481186,1Oak Cafe and Bar,28.56643109,77.23384584,Café
28.56361488,77.23481186,Domino's Pizza,28.566,77.233,Pizza Place
28.56361488,77.23481186,Flavors of Italy,28.56637302,77.23377536,Italian Restaurant
28.56361488,77.23481186,Flavor's P'tit Bar,28.566227,77.233347,French Restaurant
28.56361488,77.23481186,Southy,28.56289563,77.23812132,Indian Restaurant
28.56361488,77.23481186,Nizam's,28.56670327,77.23407421,Indian Restaurant
28.56351376,77.24094174,The Colony Bistro,28.56275785,77.24445099,Café
28.56351376,77.24094174,Tibet Kitchen,28.56383375,77.24510965,Restaurant
28.56351376,77.24094174,Nagpal Chole Bhature,28.56383581,77.24056328,North Indian Restaurant
28.56351376,77.24094174,Chulha Chonkha,28.56382517,77.2414154,Indian Restaurant
28.56351376,77.24094174,Soya Express,28.561231,77.2410945,Indian Restaurant
28.56351376,77.24094174,Cafe Coffee Day,28.5612346,77.24110264,Café
28.56351376,77.24094174,Southy,28.56289563,77.23812132,Indian Restaurant
28.56341237,77.24707159,The Colony Bistro,28.56275785,77.24445099,Café
28.56341237,77.24707159,Tibet Kitchen,28.56383375,77.24510965,Restaurant
28.56341237,77.24707159,Pind Balluchi,28.5677055,77.24689261,Restaurant
28.56341237,77.24707159,Costa Coffee,28.56720072,77.24477592,Café
28.56341237,77.24707159,Domino's Pizza,28.5672708,77.24659119,Pizza Place
28.56341237,77.24707159,Kaka ji Chole Bhature,28.56424866,77.2465968,Fast Food Restaurant
28.56341237,77.24707159,Dolma Aunty Momos,28.56712482,77.24643964,Dumpling Restaurant
28.56341237,77.24707159,Pizza Hut Delivery,28.56767918,77.2467315,Pizza Place
28.56885294,77.20119454,Rajinder Da Dhaba,28.56526803,77.19913678,Indian Restaurant
28.56885294,77.20119454,Bengal Sweet Corner,28.56601701,77.19908237,Indian Restaurant
28.56885294,77.20119454,Cafe Coffee Day Safdurjung,28.56531701,77.19931158,Café
28.56885294,77.20119454,Alkauser,28.5653553,77.1990196,Middle Eastern Restaurant
28.56885294,77.20119454,F1 Kitchen 'n' Grill,28.5652686,77.19919928,Restaurant
28.56875333,77.20732486,Nagaland Stall,28.57307015,77.20652095,Restaurant
28.56875333,77.20732486,AIIMS Paranthe Wala,28.56949298,77.20471865,Snack Place
28.56875333,77.20732486,Shooters Bar & Grill,28.56514068,77.2082448,Restaurant
28.56875333,77.20732486,Navdanya Organic Cafe,28.57290268,77.20645142,Indian Restaurant
28.56875333,77.20732486,BijoliGrill,28.573012,77.206397,Indian Restaurant
28.56875333,77.20732486,Nagaland Cookhouse,28.573076,77.20634,Northeast Indian Restaurant
28.56865343,77.21345515,China Doll,28.56840481,77.21769348,Chinese Restaurant
28.56865343,77.21345515,Daichi,28.56810915,77.21518958,Japanese Restaurant
28.56865343,77.21345515,Circus Restaurant & Bar,28.56861051,77.21768787,Gastropub
28.56865343,77.21345515,Qureishi's,28.56523705,77.21669006,Indian Restaurant
28.56855327,77.21958542,China Doll,28.56840481,77.21769348,Chinese Restaurant
28.56855327,77.21958542,Domino's Pizza,28.57,77.22,Pizza Place
28.56855327,77.21958542,Bengali Sweets,28.56953755,77.22094001,Indian Restaurant
28.56855327,77.21958542,Domino's Pizza,28.567,77.22,Pizza Place
28.56855327,77.21958542,Moti Mahal Deluxe,28.56853886,77.21926835,Indian Restaurant
28.56855327,77.21958542,McDonald's,28.568451,77.21950256,Fast Food Restaurant
28.56855327,77.21958542,Bhel Puri,28.5693451,77.21971453,Indian Restaurant
28.56855327,77.21958542,Rang De Basanti Dhaba,28.56809569,77.22003452,Indian Restaurant
28.56855327,77.21958542,Circus Restaurant & Bar,28.56861051,77.21768787,Gastropub
28.56855327,77.21958542,Cake Palace,28.56763656,77.22115731,Bakery
28.56855327,77.21958542,McDonald's,28.56839035,77.21972576,Fast Food Restaurant
28.56855327,77.21958542,Costa Coffee South Extension 1,28.56932768,77.22043752,Café
28.56855327,77.21958542,Daitchi,28.56819754,77.22247657,Chinese Restaurant
28.56855327,77.21958542,Pind Balluchi,28.56952509,77.22430106,Food Truck
28.56845282,77.22571565,Bengali Sweets,28.56953755,77.22094001,Indian Restaurant
28.56845282,77.22571565,Aka Saka,28.56891824,77.22623779,Asian Restaurant
28.56845282,77.22571565,Pind Balluchi,28.56952509,77.22430106,Food Truck
28.56845282,77.22571565,Daitchi,28.56819754,77.22247657,Chinese Restaurant
28.56845282,77.22571565,Cake Palace,28.56763656,77.22115731,Bakery
28.5683521,77.23184584,Le Bistro du Parc,28.56616994,77.23337893,French Restaurant
28.5683521,77.23184584,Nizam's Kathi Kabab,28.56675867,77.23405175,Indian Restaurant
28.5683521,77.23184584,Flavours Defence Colony,28.56633354,77.23381473,Italian Restaurant
28.5683521,77.23184584,1Oak Cafe and Bar,28.56643109,77.23384584,Café
28.5683521,77.23184584,Domino's Pizza,28.566,77.233,Pizza Place
28.5683521,77.23184584,Flavors of Italy,28.56637302,77.23377536,Italian Restaurant
28.5683521,77.23184584,Flavor's P'tit Bar,28.566227,77.233347,French Restaurant
28.5683521,77.23184584,Nizam's,28.56670327,77.23407421,Indian Restaurant
28.5683521,77.23184584,Flavors,28.56637767,77.23378472,Italian Restaurant
28.5682511,77.23797601,Bikanervala,28.57099185,77.23913168,Indian Restaurant
28.5682511,77.23797601,Nizam's Kathi Kabab,28.56675867,77.23405175,Indian Restaurant
28.5682511,77.23797601,Flavours Defence Colony,28.56633354,77.23381473,Italian Restaurant
28.5682511,77.23797601,KFC,28.56929755,77.24262974,Fast Food Restaurant
28.5682511,77.23797601,Subway,28.57029426,77.23729011,Sandwich Place
28.5682511,77.23797601,Mad Over Donuts,28.5717459,77.23738432,Donut Shop
28.5682511,77.23797601,1Oak Cafe and Bar,28.56643109,77.23384584,Café
28.5682511,77.23797601,McDonald's,28.56823174,77.24128056,Fast Food Restaurant
28.5682511,77.23797601,Domino's Pizza,28.57,77.242,Pizza Place
28.5682511,77.23797601,Cafe Coffee Day Lounge,28.56957407,77.24146107,Café
28.5682511,77.23797601,Flavors of Italy,28.56637302,77.23377536,Italian Restaurant
28.5682511,77.23797601,Goli Vada Pao,28.57017076,77.23980524,Indian Restaurant
28.5682511,77.23797601,Ching wah,28.57093631,77.2391603,Chinese Restaurant
28.5682511,77.23797601,Bikanerwala,28.57099032,77.23912125,Indian Restaurant
28.5682511,77.23797601,Nizam's,28.56670327,77.23407421,Indian Restaurant
28.5682511,77.23797601,Aunty Momos,28.56951276,77.24219075,Dumpling Restaurant
28.5682511,77.23797601,Flavors,28.56637767,77.23378472,Italian Restaurant
28.56814982,77.24410615,KFC,28.56929755,77.24262974,Fast Food Restaurant
28.56814982,77.24410615,Costa Coffee,28.56720072,77.24477592,Café
28.56814982,77.24410615,Pind Balluchi,28.5677055,77.24689261,Restaurant
28.56814982,77.24410615,Dunkin',28.56904914,77.24376797,Donut Shop
28.56814982,77.24410615,Domino's Pizza,28.5672708,77.24659119,Pizza Place
28.56814982,77.24410615,Domino's Pizza,28.57,77.242,Pizza Place
28.56814982,77.24410615,McDonald's,28.56823174,77.24128056,Fast Food Restaurant
28.56814982,77.24410615,Tibet Kitchen,28.56383375,77.24510965,Restaurant
28.56814982,77.24410615,Cafe Coffee Day Lounge,28.56957407,77.24146107,Café
28.56814982,77.24410615,Aunty Momos,28.56951276,77.24219075,Dumpling Restaurant
28.56814982,77.24410615,Dolma Aunty Momos,28.56712482,77.24643964,Dumpling Restaurant
28.56814982,77.24410615,Pizza Hut Delivery,28.56767918,77.2467315,Pizza Place
28.56814982,77.24410615,Afghan Darbar Restaurant,28.57052464,77.24265662,Afghan Restaurant
28.56814982,77.24410615,Kabul Delhi Restaurant,28.57066578,77.24248823,Afghan Restaurant
28.56814982,77.24410615,Beliram Decchiwala,28.56891632,77.24746943,Indian Restaurant
28.56814982,77.24410615,Goli Vada Pao,28.57017076,77.23980524,Indian Restaurant
28.56814982,77.24410615,Kaka ji Chole Bhature,28.56424866,77.2465968,Fast Food Restaurant
28.56804827,77.25023625,Pind Balluchi,28.5677055,77.24689261,Restaurant
28.56804827,77.25023625,Domino's Pizza,28.5672708,77.24659119,Pizza Place
28.56804827,77.25023625,Beliram Decchiwala,28.56891632,77.24746943,Indian Restaurant
28.56804827,77.25023625,Pizza Hut Delivery,28.56767918,77.2467315,Pizza Place
28.56804827,77.25023625,Dolma Aunty Momos,28.56712482,77.24643964,Dumpling Restaurant
28.56794644,77.25636632,Indian Accent,28.57042285,77.25675338,Indian Restaurant
28.56794644,77.25636632,In-Q - The Manor,28.570335,77.256656,Indian Restaurant
28.56794644,77.25636632,blooms eros hotel,28.571927,77.258537,Buffet
28.57368873,77.19209619,Khaandani Pakore Wala (Pakoda Point),28.56960468,77.19388957,Snack Place
28.57368873,77.19209619,Domino's Pizza,28.576,77.195,Pizza Place
28.57368873,77.19209619,Rdbd Rang de Basanti Dhaba,28.57655213,77.1952519,Indian Restaurant
28.57368873,77.19209619,Haldiram's,28.57637436,77.19526594,Indian Restaurant
28.57368873,77.19209619,McDonald's,28.57595962,77.19520137,Fast Food Restaurant
28.57368873,77.19209619,Rang De Basanti Dhaba,28.57602268,77.19504976,Indian Restaurant
28.57368873,77.19209619,Kulcha King,28.56989211,77.1943254,Fast Food Restaurant
28.57358951,77.19822683,Domino's Pizza,28.576,77.195,Pizza Place
28.57358951,77.19822683,McDonald's,28.57651519,77.19609979,Fast Food Restaurant
28.57358951,77.19822683,Rdbd Rang de Basanti Dhaba,28.57655213,77.1952519,Indian Restaurant
28.57358951,77.19822683,Haldiram's,28.57637436,77.19526594,Indian Restaurant
28.57358951,77.19822683,Bakes & Byte,28.57656029,77.19750917,Restaurant
28.57358951,77.19822683,McDonald's,28.57595962,77.19520137,Fast Food Restaurant
28.57358951,77.19822683,Rang De Basanti Dhaba,28.57602268,77.19504976,Indian Restaurant
28.57358951,77.19822683,Amar Jyoti Restaurant,28.57741729,77.1966613,Indian Restaurant
28.57349001,77.20435744,Nagaland Stall,28.57307015,77.20652095,Restaurant
28.57349001,77.20435744,Curry Leaf,28.57323045,77.20278156,Indian Restaurant
28.57349001,77.20435744,August spice,28.57342039,77.20629075,Café
28.57349001,77.20435744,Nagaland Cookhouse,28.573076,77.20634,Northeast Indian Restaurant
28.57349001,77.20435744,BijoliGrill,28.573012,77.206397,Indian Restaurant
28.57349001,77.20435744,Navdanya Organic Cafe,28.57290268,77.20645142,Indian Restaurant
28.57349001,77.20435744,Manipur stall,28.57327763,77.20654341,Snack Place
28.57349001,77.20435744,Paamna Restaurant,28.573417,77.206851,Indian Restaurant
28.57349001,77.20435744,Darbar-E-Awadh,28.57346344,77.20687866,Indian Restaurant
28.57349001,77.20435744,Momo Mia,28.57329909,77.20695327,Northeast Indian Restaurant
28.57349001,77.20435744,Wah Delhi,28.57359745,77.20698696,Indian Restaurant
28.57349001,77.20435744,AIIMS Paranthe Wala,28.56949298,77.20471865,Snack Place
28.57339024,77.21048802,Nagaland Stall,28.57307015,77.20652095,Restaurant
28.57339024,77.21048802,Kerala Hotel,28.57407285,77.20992893,Indian Restaurant
28.57339024,77.21048802,Momo Mia,28.57329909,77.20695327,Northeast Indian Restaurant
28.57339024,77.21048802,Sikkim Tourism Stall,28.57336544,77.20678483,Dim Sum Restaurant
28.57329019,77.21661856,Domino's Pizza,28.57,77.22,Pizza Place
28.57329019,77.21661856,East Kidwai Nagar Market,28.57377978,77.21621697,Dim Sum Restaurant
28.57329019,77.21661856,Sardar Da Cafe,28.57307104,77.22050048,Fast Food Restaurant
28.57318986,77.22274908,Domino's Pizza,28.57,77.22,Pizza Place
28.57318986,77.22274908,Bengali Sweets,28.56953755,77.22094001,Indian Restaurant
28.57318986,77.22274908,Pind Balluchi,28.56952509,77.22430106,Food Truck
28.57318986,77.22274908,Costa Coffee South Extension 1,28.56932768,77.22043752,Café
28.57308926,77.22887957,Sagar South Indian Restaurant,28.57339263,77.23029286,South Indian Restaurant
28.57308926,77.22887957,Amici Cafe,28.57374778,77.23017769,Italian Restaurant
28.57308926,77.22887957,Swagath Restaurant & Bar,28.57348863,77.23018335,Indian Restaurant
28.57308926,77.22887957,Sagar Ratna,28.57283888,77.23060369,Indian Restaurant
28.57308926,77.22887957,Angels In My Kitchen,28.57402293,77.22985855,Bakery
28.57308926,77.22887957,Brown sugar,28.57364648,77.23029156,Café
28.57308926,77.22887957,Moets Stone,28.57323836,77.23053722,Italian Restaurant
28.57308926,77.22887957,subway,28.57368468,77.23027956,Sandwich Place
28.57308926,77.22887957,Defence Colony Bakery,28.57377443,77.23029696,Bakery
28.57308926,77.22887957,Colonel's Kababz,28.57400875,77.23048985,Indian Restaurant
28.57308926,77.22887957,Kent's,28.5740913,77.23045545,Burger Joint
28.57308926,77.22887957,Ca Va,28.57369933,77.23003257,Italian Restaurant
28.57308926,77.22887957,Moets Sizzlers,28.5731367,77.23043087,Restaurant
28.57308926,77.22887957,Cafe WTF,28.57356622,77.23047042,Café
28.57308926,77.22887957,Au Bon Pain,28.57373294,77.23035253,Café
28.57308926,77.22887957,Salim Kababs Khan Market Wale,28.57395961,77.22975751,Indian Restaurant
28.57308926,77.22887957,Def Social,28.572817,77.23033,Restaurant
28.57308926,77.22887957,Liquid Kitchen,28.57390699,77.230313,Indian Restaurant
28.57308926,77.22887957,Little Dragon Chinese Van,28.57369132,77.22852814,Food Truck
28.57308926,77.22887957,Red Monkey,28.57327547,77.23034131,Asian Restaurant
28.57308926,77.22887957,Akasaka,28.573008,77.230377,Noodle House
28.57308926,77.22887957,Capri Italy,28.57305489,77.23040306,Italian Restaurant
28.57308926,77.22887957,Rollmaal,28.57306074,77.23043674,Indian Restaurant
28.57308926,77.22887957,Yoko Sizzlers,28.575624,77.229576,Steakhouse
28.57298838,77.23501002,Sagar South Indian Restaurant,28.57339263,77.23029286,South Indian Restaurant
28.57298838,77.23501002,Bikanervala,28.57099185,77.23913168,Indian Restaurant
28.57298838,77.23501002,Amici Cafe,28.57374778,77.23017769,Italian Restaurant
28.57298838,77.23501002,Sagar Ratna,28.57283888,77.23060369,Indian Restaurant
28.57298838,77.23501002,Mad Over Donuts,28.5717459,77.23738432,Donut Shop
28.57298838,77.23501002,Swagath Restaurant & Bar,28.57348863,77.23018335,Indian Restaurant
28.57298838,77.23501002,Brown sugar,28.57364648,77.23029156,Café
28.57298838,77.23501002,Moets Stone,28.57323836,77.23053722,Italian Restaurant
28.57298838,77.23501002,Subway,28.57029426,77.23729011,Sandwich Place
28.57298838,77.23501002,subway,28.57368468,77.23027956,Sandwich Place
28.57298838,77.23501002,Defence Colony Bakery,28.57377443,77.23029696,Bakery
28.57298838,77.23501002,Colonel's Kababz,28.57400875,77.23048985,Indian Restaurant
28.57298838,77.23501002,Kent's,28.5740913,77.23045545,Burger Joint
28.57298838,77.23501002,Moets Sizzlers,28.5731367,77.23043087,Restaurant
28.57298838,77.23501002,Ca Va,28.57369933,77.23003257,Italian Restaurant
28.57298838,77.23501002,Diva Kitsch,28.57497541,77.23819429,Asian Restaurant
28.57298838,77.23501002,Akasaka,28.573008,77.230377,Noodle House
28.57298838,77.23501002,Def Social,28.572817,77.23033,Restaurant
28.57298838,77.23501002,Bikanerwala,28.57099032,77.23912125,Indian Restaurant
28.57298838,77.23501002,Au Bon Pain,28.57373294,77.23035253,Café
28.57298838,77.23501002,Liquid Kitchen,28.57390699,77.230313,Indian Restaurant
28.57288722,77.24114044,Bikanervala,28.57099185,77.23913168,Indian Restaurant
28.57288722,77.24114044,KFC,28.56929755,77.24262974,Fast Food Restaurant
28.57288722,77.24114044,Mad Over Donuts,28.5717459,77.23738432,Donut Shop
28.57288722,77.24114044,Domino's Pizza,28.57,77.242,Pizza Place
28.57288722,77.24114044,Dunkin',28.56904914,77.24376797,Donut Shop
28.57288722,77.24114044,Subway,28.57029426,77.23729011,Sandwich Place
28.57288722,77.24114044,Cafe Coffee Day Lounge,28.56957407,77.24146107,Café
28.57288722,77.24114044,Kabul Delhi Restaurant,28.57066578,77.24248823,Afghan Restaurant
28.57288722,77.24114044,Anandji Chole Bhature,28.5752,77.2413,Indian Restaurant
28.57288722,77.24114044,Bikanerwala,28.57099032,77.23912125,Indian Restaurant
28.57288722,77.24114044,Ching wah,28.57093631,77.2391603,Chinese Restaurant
28.57288722,77.24114044,Afghan Darbar Restaurant,28.57052464,77.24265662,Afghan Restaurant
28.57288722,77.24114044,Goli Vada Pao,28.57017076,77.23980524,Indian Restaurant
28.57288722,77.24114044,Diva Kitsch,28.57497541,77.23819429,Asian Restaurant
28.57288722,77.24114044,Aunty Momos,28.56951276,77.24219075,Dumpling Restaurant
28.57288722,77.24114044,Mazaar,28.57689506,77.2420841,Indian Restaurant
28.57278579,77.24727083,Mazar restaurant,28.57427446,77.2443966,Asian Restaurant
28.57278579,77.24727083,Kabul Delhi Restaurant,28.57554543,77.24447518,Middle Eastern Restaurant
28.57278579,77.24727083,Beliram Decchiwala,28.56891632,77.24746943,Indian Restaurant
28.57278579,77.24727083,m.O.d,28.56865646,77.24762392,Donut Shop
28.57268408,77.25340119,Indian Accent,28.57042285,77.25675338,Indian Restaurant
28.57268408,77.25340119,Hong Kong,28.574713,77.256584,Chinese Restaurant
28.57268408,77.25340119,In-Q - The Manor,28.570335,77.256656,Indian Restaurant
28.57258209,77.25953152,Indian Accent,28.57042285,77.25675338,Indian Restaurant
28.57258209,77.25953152,Angels In My Kitchen,28.57488569,77.25858721,Bakery
28.57247983,77.26566182,Barista,28.571147,77.264767,Café
28.57247983,77.26566182,Ambar Parathe Wala,28.57183035,77.26544273,Indian Restaurant
28.57247983,77.26566182,Cups & Pups,28.571508,77.26679,Pet Café
28.57247983,77.26566182,Moti Mahal Delux,28.56967298,77.26791859,Indian Restaurant
28.57247983,77.26566182,Chik Chow,28.5692947,77.26791189,Chinese Restaurant
28.57247983,77.26566182,Dawat Khana,28.57234892,77.27051497,Restaurant
28.57247983,77.26566182,"CCD, New Friends Colony",28.57629437,77.26303524,Café
28.57842513,77.18912793,Jamavar Kashmiri Restaurant @ The Leela,28.58014279,77.18926702,Indian Restaurant
28.57842513,77.18912793,Le Cirque,28.57975791,77.18937426,French Restaurant
28.57842513,77.18912793,The Qube,28.58016234,77.18927013,Breakfast Spot
28.57842513,77.18912793,Megu,28.58027313,77.18976805,Japanese Restaurant
